100	-3.07067
                         0	0	0
                  0.085976	0.085902	-3.0707
                   0.16272	0.16258	-3.0707
                   0.23112	0.23093	-3.0707
                   0.29198	0.29173	-3.0707
                   0.34602	0.34573	-3.0707
                    0.3939	0.39357	-3.0707
                   0.43621	0.43584	-3.0707
                   0.47348	0.47308	-3.0707
                    0.5062	0.50577	-3.0707
                   0.53481	0.53436	-3.0707
                    0.5597	0.55923	-3.0707
                   0.58123	0.58073	-3.0707
                   0.59972	0.59921	-3.0707
                   0.61546	0.61493	-3.0707
                   0.62872	0.62818	-3.0707
                   0.63973	0.63919	-3.0707
                   0.64872	0.64817	-3.0707
                   0.65587	0.65531	-3.0707
                   0.66136	0.6608	-3.0707
                   0.66536	0.66479	-3.0707
                     0.668	0.66743	-3.0707
                   0.66942	0.66885	-3.0707
                   0.66973	0.66916	-3.0707
                   0.66904	0.66847	-3.0707
                   0.66745	0.66688	-3.0707
                   0.66504	0.66447	-3.0707
                   0.66189	0.66133	-3.0707
                   0.65807	0.65751	-3.0707
                   0.65365	0.65309	-3.0707
                   0.64868	0.64813	-3.0707
                   0.64322	0.64268	-3.0707
                   0.63732	0.63678	-3.0707
                   0.63101	0.63047	-3.0707
                   0.62433	0.6238	-3.0707
                   0.61733	0.61681	-3.0707
                   0.61003	0.60951	-3.0707
                   0.60246	0.60195	-3.0707
                   0.59465	0.59415	-3.0707
                   0.58662	0.58612	-3.0707
                   0.57839	0.5779	-3.0707
                   0.56998	0.56949	-3.0707
                    0.5614	0.56093	-3.0707
                   0.55268	0.55221	-3.0707
                   0.54383	0.54337	-3.0707
                   0.53486	0.53441	-3.0707
                   0.52578	0.52533	-3.0707
                    0.5166	0.51616	-3.0707
                   0.50733	0.5069	-3.0707
                   0.49799	0.49756	-3.0707
                   0.48857	0.48815	-3.0707
                   0.47908	0.47867	-3.0707
                   0.46954	0.46914	-3.0707
                   0.45994	0.45955	-3.0707
                   0.45029	0.44991	-3.0707
                    0.4406	0.44023	-3.0707
                   0.43087	0.43051	-3.0707
                   0.42111	0.42075	-3.0707
                   0.41131	0.41096	-3.0707
                   0.40149	0.40115	-3.0707
                   0.39163	0.3913	-3.0707
                   0.38176	0.38143	-3.0707
                   0.37186	0.37154	-3.0707
                   0.36194	0.36163	-3.0707
                   0.35201	0.35171	-3.0707
                   0.34206	0.34177	-3.0707
                   0.33209	0.33181	-3.0707
                   0.32211	0.32184	-3.0707
                   0.31212	0.31186	-3.0707
                   0.30212	0.30187	-3.0707
                   0.29211	0.29186	-3.0707
                   0.28209	0.28185	-3.0707
                   0.27207	0.27183	-3.0707
                   0.26203	0.26181	-3.0707
                   0.25199	0.25178	-3.0707
                   0.24195	0.24174	-3.0707
                   0.23189	0.2317	-3.0707
                   0.22184	0.22165	-3.0707
                   0.21178	0.2116	-3.0707
                   0.20171	0.20154	-3.0707
                   0.19165	0.19148	-3.0707
                   0.18158	0.18142	-3.0707
                    0.1715	0.17136	-3.0707
                   0.16143	0.16129	-3.0707
                   0.15135	0.15122	-3.0707
                   0.14127	0.14115	-3.0707
                   0.13118	0.13107	-3.0707
                    0.1211	0.121	-3.0707
                   0.11101	0.11092	-3.0707
                   0.10093	0.10084	-3.0707
                  0.090838	0.09076	-3.0707
                  0.080748	0.080679	-3.0707
                  0.070657	0.070597	-3.0707
                  0.060565	0.060514	-3.0707
                  0.050473	0.05043	-3.0707
                   0.04038	0.040345	-3.0707
                  0.030286	0.03026	-3.0707
                  0.020191	0.020174	-3.0707
                  0.010096	0.010087	-3.0707
                5.8886e-18	0	0
